game_id,name,platform_id,year,genre_id,publisher_id,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
257,FIFA 14,29,2013,11,139,0.92,2.93,0.01,0.46,4.31
258,Call of Duty: Advanced Warfare,29,2014,9,17,2.75,1.18,0,0.37,4.31
259,Asteroids,1,1980,9,54,4,0.26,0,0.05,4.31
260,Fable II,29,2008,8,328,2.51,1.27,0.11,0.41,4.31
261,Halo 5: Guardians,31,2015,9,328,2.64,1.2,0.03,0.39,4.26
262,Super Mario 3D World,27,2013,5,369,2.11,1.11,0.72,0.3,4.25
263,Batman: Arkham Asylum,18,2009,1,138,2.23,1.34,0.07,0.61,4.25
264,Assassin's Creed: Revelations,18,2011,1,533,1.41,2.02,0.1,0.72,4.24
265,Namco Museum,7,2001,4,352,3,1.11,0.05,0.07,4.24
266,Metal Gear Solid 3: Snake Eater,17,2004,1,282,1.46,0,0.83,1.93,4.23
267,Daxter,20,2006,5,465,2.45,1.02,0,0.75,4.22
268,Warcraft II: Tides of Darkness,14,1995,12,17,1.7,2.27,0,0.23,4.21
269,The Legend of Zelda: Ocarina of Time,3,2011,1,369,2.03,1.27,0.62,0.3,4.21
270,FIFA Soccer 06,17,2005,11,139,0.78,2.55,0.04,0.84,4.21
271,EyeToy Play,17,2003,4,465,0.88,2.3,0.2,0.83,4.2
272,Uncharted 4: A Thief's End,19,2016,9,465,1.3,2.07,0.18,0.65,4.2
273,Gran Turismo 5 Prologue,18,2007,7,465,1.28,1.83,0.57,0.53,4.2
274,Assassin's Creed: Revelations,29,2011,1,533,2.25,1.47,0.04,0.43,4.19
275,Street Fighter IV,18,2009,3,82,2.02,1.06,0.58,0.53,4.19
276,FIFA 12,29,2011,11,139,0.84,2.79,0.02,0.53,4.19
277,Teenage Mutant Ninja Turtles,12,1989,1,393,3.38,0.44,0.31,0.04,4.17
278,Excitebike,12,1984,7,369,2.04,0.48,1.57,0.07,4.16
279,Frogger,16,1997,1,217,3.79,0.27,0,0.11,4.16
280,Madden NFL 2003,17,2002,11,139,3.36,0.21,0.01,0.56,4.14
281,Watch Dogs,19,2014,1,533,1.4,1.86,0.11,0.77,4.14
282,Half-Life,14,1997,9,556,4.03,0,0.09,0,4.12
283,Super Mario World 2: Yoshi's Island,24,1995,5,369,1.65,0.61,1.76,0.09,4.12
284,FIFA Soccer 07,17,2006,11,139,0.71,2.48,0.03,0.89,4.11
285,The Legend of Zelda: Skyward Sword,26,2011,1,369,2.14,1.2,0.37,0.4,4.1
286,Street Fighter II Turbo,24,1992,3,82,1.42,0.51,2.1,0.07,4.1
287,Carnival Games,26,2007,4,499,2.13,1.5,0.05,0.42,4.1
288,Fallout 4,31,2015,8,65,2.45,1.26,0.01,0.37,4.09
289,World of Warcraft: The Burning Crusade,14,2007,8,17,2.57,1.52,0,0,4.09
290,Fallout: New Vegas,29,2010,8,65,2.65,1.06,0.04,0.33,4.08
291,God of War II,17,2007,1,465,2.32,0.04,0.04,1.67,4.07
292,Forza Motorsport 2,29,2007,7,328,2.35,1.28,0.03,0.41,4.06
293,World Soccer Winning Eleven 9,17,2005,11,282,0.12,2.26,0.9,0.77,4.06
294,Namco Museum Vol.3,16,1996,4,465,2.28,1.55,0.16,0.06,4.05
295,Tekken Tag Tournament,17,2000,3,352,1.68,1.51,0.51,0.35,4.05
296,Far Cry 4,19,2014,9,533,1.12,2.12,0.1,0.69,4.03
297,Star Fox 64,11,1997,9,369,2.78,0.58,0.64,0.04,4.03
298,Minecraft,19,2014,4,467,1.38,1.87,0.12,0.65,4.02
299,Golf,12,1984,11,369,1.22,0.28,2.46,0.04,4.01
300,Fallout 3,18,2008,8,65,2.15,1.2,0.07,0.59,4.01
301,Professor Layton and the Diabolical Box,5,2007,6,369,0.92,1.78,0.92,0.37,4
302,Left 4 Dead 2,29,2009,9,139,2.67,0.89,0.05,0.37,3.99
303,Namco Museum: 50th Anniversary,17,2005,4,352,2.08,1.35,0,0.54,3.98
304,EA Sports Active,26,2009,11,139,2.1,1.36,0.06,0.4,3.92
305,Assassin's Creed: Unity,19,2014,1,533,1.18,1.96,0.08,0.7,3.92
306,Donkey Kong Land,6,1994,5,369,1.97,0.76,1.07,0.11,3.91
307,Tony Hawk's Underground,17,2003,11,17,2.29,1.17,0.01,0.42,3.9
308,Assassin's Creed IV: Black Flag,18,2013,1,533,1.33,1.71,0.13,0.73,3.89
309,Monster Hunter 4 Ultimate,3,2014,8,369,0.67,0.49,2.62,0.11,3.89
310,MotorStorm,18,2006,7,465,1.53,1.61,0.06,0.67,3.88
311,The Elder Scrolls V: Skyrim,14,2011,8,65,1.15,2.09,0,0.64,3.88
312,Tekken 5,17,2005,3,352,0.93,1.94,0.31,0.7,3.87
313,Dragon Warrior III,12,1988,8,145,0.1,0,3.77,0,3.87
314,Sports Champions,18,2010,11,465,2.12,1.14,0.1,0.51,3.87
315,NBA 2K16,19,2015,11,499,2.48,0.65,0.03,0.69,3.85
316,World Soccer Winning Eleven 8 International,17,2004,11,282,0.16,1.89,1.12,0.68,3.85
317,Flash Focus: Vision Training in Minutes a Day,5,2007,4,369,0.87,1.57,1.05,0.35,3.84
318,Namco Museum Vol.1,16,1995,4,465,2.12,1.44,0.22,0.06,3.84
